"Motocarrozzetta"
"Motocarro"
"Motoarticolato"
"Quadriciclo"
"Berlina"
"Monovolume"
"Station wagon"
"Pick-up"
"Coupé"
"Cabriolet"
"Roadster"
"SUV"
"Camper"
"Autocarro"
"Furgone"
"Trattore stradale"
"Roulotte"
"Altro"
