Agila;
Karl;
Adam;
Corsa;
Meriva;
Tigra TwinTop;
Astra;
Zafira;
Zafira Tourer;
Insignia;
Mokka;
Antara;
GTC;
Cascada;
Combo Tour;
Vivaro Combi;
Movano Combi;
