2486,4,5,"CUNEO - EDMONDO DE AMICIS","CORSO CARLO BRUNET 12"
2486,4,2,"CUNEO - G. PEANO","VIA MONTE ZOVETTO 8"
2486,4,2,"LICEO SCIENTIFICO VESPUCCI","VIA BERSEZIO 2"
2486,4,21,"SEZIONE CARCERARIA CUNEO","CASA CIRCONDARIALE CERIALDO - VIA RONCATA 75"
2486,4,23,"IPSIA CUNEO","VIA CACCIATORI DELLE ALPI 2"
2486,4,7,"CUNEO - EGO BIANCHI","CORSO ALCIDE DE GASPERI 11"
2486,4,13,"CUNEO - F. A. BONELLI","VIALE ANGELI 12"
2486,4,17,"CUNEO - MARIO DELPOZZO","CORSO ALCIDE DE GASPERI 30"
2486,4,16,"ISTITUTO TECNICO TECNOLOGICO INDIRIZZO TRASPORTI E LOGISTICA","VIA BERSEZIO 2"
2486,4,14,"AMERIGO VESPUCCI","PIAZZA GALIMBERTI 15"
